"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dre04120","Genetic Information Processing","Folding, sorting and degradation","dre04120","Ubiquitin mediated proteolysis","57/2190","159/12020",0.358490566037736,1.96760575514776,5.79716709017006,8.61139111253363e-08,1.34650842850526e-06,6.59245252634154e-07,"368425/325470/492364/436961/550576/556277/373108/321875/559439/553415/334627/335409/406606/554561/337810/170784/406335/192341/449846/563633/445073/324015/557121/641289/553013/324243/447935/436713/692325/393313/503534/792398/30450/100330952/100037384/100001302/564866/556864/562982/558479/796547/100003679/568795/100003587/445501/569473/567370/565844/100334486/100330031/559776/406353/564377/768140/415162/566441/563542",57
"dre04068","Environmental Information Processing","Signal transduction","dre04068","FoxO signaling pathway","63/2190","183/12020",0.344262295081967,1.88951268807545,5.72316589001521,1.03358044260144e-07,1.44953780306387e-06,7.09688030875826e-07,"65237/368390/65236/326283/394088/794669/378727/497646/563180/768159/560578/266794/403065/565576/369195/402991/30767/324140/369194/403036/245701/360144/406304/563460/402862/100000252/326974/58092/334202/117509/100000242/30681/792928/335799/117508/393548/436905/335232/58025/793200/368329/560446/280649/557109/561670/572074/565612/570965/100151181/399480/245700/559111/100149273/100134973/100190951/100329897/768121/556286/559273/30222/431763/30068/794462",63
"dre00480","Metabolism","Metabolism of other amino acids","dre00480","Glutathione metabolism","32/2190","70/12020",0.457142857142857,2.50906718851924,5.97658512873376,1.09558089766456e-07,1.44953780306387e-06,7.09688030875826e-07,"447895/326857/393191/393556/352926/431762/436894/100006589/571365/449784/492500/567275/368909/324900/100124622/563972/324366/564619/798788/393778/557614/436833/352928/563855/723997/352929/767682/568744/406703/406736/79381/101882295",32
"dre03020","Genetic Information Processing","Transcription","dre03020","RNA polymerase","20/2190","35/12020",0.571428571428571,3.13633398564905,5.97397799496175,2.91264569779239e-07,3.56591959849238e-06,1.74586026853972e-06,"553733/394162/402856/445170/334669/554099/541428/436817/445412/436826/550263/393538/449992/553705/751656/796803/436588/792693/553347/436749",20
"dre04141","Genetic Information Processing","Folding, sorting and degradation","dre04141","Protein processing in endoplasmic reticulum","67/2190","204/12020",0.32843137254902,1.802623332438,5.4572153151929,3.10981360333638e-07,3.56591959849238e-06,1.74586026853972e-06,"100148383/797907/321807/406289/335985/65236/562939/324164/558071/337190/436772/266757/327268/326701/58081/558108/266638/192298/565155/406310/550581/140614/170784/406757/570101/449846/324015/324005/360149/324243/553407/321564/553353/334337/553288/563053/574002/567021/325561/100037384/557960/497542/101882461/573376/751643/334633/559811/556580/100334730/100149273/393742/554116/559776/767645/327447/568308/777612/373100/566527/321315/338155/571870/378848/406774/100000526/393239/266797",67
"dre04218","Cellular Processes","Cell growth and death","dre04218","Cellular senescence","65/2190","202/12020",0.321782178217822,1.76612866766129,5.18304371076569,1.05171501789324e-06,1.13059364423524e-05,5.53534219943813e-06,"65237/327321/394072/406529/777733/393141/326283/562585/497646/192322/322129/560578/369195/402991/406660/280651/369194/360144/406304/336121/445390/368217/100000252/30590/58092/568315/791453/415155/30681/792928/557551/393548/799566/58025/553353/324254/550587/561682/560446/563053/100136840/557109/569156/560688/572042/100034507/399480/777755/100149388/406452/568846/777730/192321/415165/415099/65239/571753/768121/327379/100333254/30222/100003911/431763/100002946/565756",65
"dre05100","Human Diseases","Infectious disease: bacterial","dre05100","Bacterial invasion of epithelial cells","40/2190","105/12020",0.380952380952381,2.09088932376604,5.29916916562928,1.20735606815069e-06,1.22156025718776e-05,5.98071117350189e-06,"386787/394243/492364/30265/399482/100005469/337243/324004/335474/323457/393653/100000252/556104/57935/793158/553310/550258/415240/114456/100005846/568309/393543/415204/445305/100001221/565130/559334/554861/100150664/556734/323818/327068/692277/406250/100006041/100334859/406364/572187/30741/570216",40
"dre04530","Cellular Processes","Cellular community - eukaryotes","dre04530","Tight junction","76/2190","249/12020",0.305220883534137,1.6752306027764,5.08188200357511,1.36588599114937e-06,1.30517994709829e-05,6.39010990011401e-06,"368473/561431/494075/405757/252845/327263/560400/406685/394243/550468/81581/65236/403050/566060/335032/60635/571256/550487/323696/399482/101884950/550254/558752/337084/100330358/386966/335474/558359/449548/337226/373105/556104/795591/57935/450006/793158/550497/562264/81584/81585/335916/436905/373080/335232/114456/569084/415204/445305/570858/572074/571897/724019/81587/678612/81580/554861/556734/327068/100149273/563421/406714/58126/777730/406250/792024/100006041/100334486/406582/555805/326719/322221/30222/327198/110438074/570216/100536545",76
"dre04810","Cellular Processes","Cell motility","dre04810","Regulation of actin cytoskeleton","94/2190","327/12020",0.287461773700306,1.57775822825465,4.9996143609777,1.58563052402311e-06,1.43541289543144e-05,7.02772531422984e-06,"561431/100499533/100151255/386787/378872/560400/567175/394243/567479/445393/30705/567905/321383/100331874/563556/406738/403001/692331/403065/791177/399482/100005469/337084/100330358/335474/360144/562455/359830/373124/394012/100000252/556104/431737/352944/57935/415151/450006/793158/114447/415187/692065/567956/449831/336613/100001836/336623/404610/114456/568309/101885659/415204/352940/445305/386762/493181/557109/558477/564565/100001221/561670/565130/100004299/550569/100150701/541320/554861/386856/399480/556734/556951/327068/793949/100141346/101886694/799355/406250/100006041/100005903/100537977/100334859/557912/572187/571753/326719/322221/368461/560305/556286/559529/571031/323285/100331333/735292/570216",94
"dre04144","Cellular Processes","Transport and catabolism","dre04144","Endocytosis","96/2190","341/12020",0.281524926686217,1.54517334190335,4.8204594927408,3.3294347695137e-06,2.86331390178178e-05,1.40186727137419e-05,"386967/405840/561879/378838/368278/557061/393945/406766/550542/561697/394243/563511/492364/570669/326283/403050/399477/447839/556277/100148736/560578/399482/386807/566350/335474/245701/554561/100170829/767670/394001/334632/556104/58092/791453/100003902/563633/793158/114447/792928/568170/567190/449831/553374/415240/100003206/368323/798901/114456/558153/560446/474327/799278/393881/415204/492771/352940/445305/407684/557199/555174/565434/571897/100005753/573376/573437/559334/554861/560761/378724/386856/100333040/563459/550265/100334572/794689/793623/327068/558931/795505/641572/324332/406250/100006041/100330031/336426/335083/550402/494477/100149572/560461/393562/100151129/393351/569403/559329/334219",96
"dre04110","Cellular Processes","Cell growth and death","dre04110","Cell cycle","61/2190","192/12020",0.317708333333333,1.74376902587519,4.90357148397796,3.56589815097583e-06,2.92064039032306e-05,1.42993409562941e-05,"777733/393141/541325/406685/326283/57925/794669/327471/497646/550576/445395/373881/369195/402991/192323/393554/369194/406304/402862/100141368/449548/100000720/30590/58092/791894/449846/317763/550258/399487/393548/58025/368329/30450/280649/565612/117604/100034507/327226/100151181/562283/559111/797406/568795/100307076/445501/569473/568846/566753/777730/570900/415165/565592/406582/559273/406353/192333/30222/768140/791138/431763/100004175",61
"dre04350","Environmental Information Processing","Signal transduction","dre04350","TGF-beta signaling pathway","52/2190","156/12020",0.333333333333333,1.82952815829528,4.92217815864038,3.91181770125057e-06,2.95125597131279e-05,1.44492336416783e-05,"393141/406685/30113/405785/326283/561901/64698/794669/30615/558474/560578/369195/555655/445564/100007653/553816/369194/360144/321364/564395/449548/58092/30641/449846/563633/436910/100148867/30493/792928/664761/559222/566470/246093/560446/266599/562072/566538/323346/565612/100151181/399480/100332721/559111/794689/563090/100006041/406582/559273/494477/266983/447846/100535338",52
"dre04310","Environmental Information Processing","Signal transduction","dre04310","Wnt signaling pathway","70/2190","230/12020",0.304347826086957,1.67043875322613,4.84557802749378,3.94644693838338e-06,2.95125597131279e-05,1.44492336416783e-05,"317679/30206/30510/30476/568518/393141/30556/560060/65236/326283/569863/794669/799377/30265/58023/405823/30283/564241/30171/30119/751108/553788/324004/798465/563460/570510/30701/30590/58092/568315/368250/415151/449846/30523/497649/30719/368249/565013/335916/30197/556148/561682/560713/30370/794221/323630/65229/386762/565612/556813/447800/100151181/100148840/791855/570926/559111/100149273/100006754/100538205/100006041/100332639/100003877/58080/559273/100333254/30222/30105/568191/100537329/557384",70
"dre04621","Organismal Systems","Immune system","dre04621","NOD-like receptor signaling pathway","56/2190","175/12020",0.32,1.75634703196347,4.75720717132403,6.93270185087257e-06,4.88193204693619e-05,2.39017480878149e-05,"65237/406529/406463/30768/567460/323099/57933/334571/405785/65236/403145/562585/373108/541530/393551/553788/565155/360134/793153/403036/360144/554561/336637/326974/57923/100000242/30681/335916/436734/793200/563907/767660/792697/570965/399480/100149388/368481/100149273/567642/557086/100334178/561021/566185/100006041/100333845/415099/405770/492489/571965/100003911/562317/692289/373874/100002946/797669/565756",56
"dre04625","Organismal Systems","Immune system","dre04625","C-type lectin receptor signaling pathway","45/2190","131/12020",0.343511450381679,1.8853916135104,4.80925554492872,7.09583146357005e-06,4.88193204693619e-05,2.39017480878149e-05,"65237/327321/246227/406463/30768/323099/57933/334571/405785/65236/559020/562585/192322/556277/541530/406660/360144/562455/336121/368217/100000252/568315/334202/57923/30681/335916/368241/561682/557109/399480/100004261/100149388/368481/100149273/436920/561021/566185/100006041/415099/405770/327379/571031/100333254/100101653/565756",45
"dre04623","Organismal Systems","Immune system","dre04623","Cytosolic DNA-sensing pathway","27/2190","69/12020",0.391304347826087,2.14770696843359,4.51266304793712,3.63686756429157e-05,0.000240592777330058,0.000117793281434545,"406463/567460/323099/57933/394162/541530/360134/445170/436817/445412/436826/550263/393538/57923/335722/553705/796803/561021/566185/415099/405770/793232/436749/562317/692289/797669/565756",27
"dre00270","Metabolism","Amino acid metabolism","dre00270","Cysteine and methionine metabolism","24/2190","59/12020",0.406779661016949,2.23264453215695,4.47980984972702,4.64613010193478e-05,0.000295975695382512,0.000144908541190948,"447941/553187/403338/541347/326857/322228/324079/317744/393526/334195/323329/406688/337412/321084/550524/678634/561410/100002302/796025/393714/571201/393315/335715/378847",24
"dre04622","Organismal Systems","Immune system","dre04622","RIG-I-like receptor signaling pathway","27/2190","70/12020",0.385714285714286,2.11702544031311,4.4239233917367,4.90336621810325e-05,0.0003012067819692,0.000147469660694835,"65237/406463/567460/323099/405785/65236/541530/553788/360134/554561/58130/30681/555459/767660/570965/100149273/561021/100334486/415099/100536767/393721/100003911/562317/692289/393144/100002946/565756",27
"dre00310","Metabolism","Amino acid metabolism","dre00310","Lysine degradation","30/2190","84/12020",0.357142857142857,1.96020874103066,4.16826535990252,0.000102909565800055,0.000610360183365843,0.000298829955136275,"368912/557048/321245/100036767/100003546/494076/334197/100000709/323653/445121/393860/556229/567859/777635/556086/793834/497407/559945/100006350/560856/100005587/100000859/563799/568162/556077/797296/555271/796720/558337/100004770",30
"dre04115","Cellular Processes","Cell growth and death","dre04115","p53 signaling pathway","32/2190","92/12020",0.347826086956522,1.90907286082986,4.13131449925942,0.000109675666201383,0.000615709341308123,0.000301448881913402,"100147851/561901/497646/558619/553652/321875/266794/368221/402991/58081/406304/368909/30590/393548/415158/58025/100136840/494479/559425/100149745/100034507/563527/171473/557507/777730/751765/561021/415165/767645/30222/100149048/431763",32
"dre04210","Cellular Processes","Cell growth and death","dre04210","Apoptosis","59/2190","204/12020",0.28921568627451,1.58738472557973,3.99375995039578,0.000110970869654371,0.000615709341308123,0.000301448881913402,"406463/321807/567460/323099/336746/405785/58122/65236/562585/195815/497646/337572/570425/373108/541530/402991/58081/795573/791531/360144/406304/394198/100000252/30590/58130/795591/57935/324818/335916/393548/415158/373080/321564/553353/58100/563053/436904/373114/567021/100002293/557109/373118/559425/558045/399480/100004261/100149388/100149273/100190951/751765/561021/792024/321853/415099/767645/368704/562317/431763/565756",59
"dre04150","Environmental Information Processing","Signal transduction","dre04150","mTOR signaling pathway","60/2190","209/12020",0.287081339712919,1.57567018417775,3.96262532629956,0.000122314090523852,0.00064001831543692,0.000313350460434232,"561835/568518/405785/336619/569863/550549/493617/108179059/58023/30283/393732/768159/30171/403065/445028/406822/335025/324140/245701/360144/192335/100000252/562032/338219/399488/378866/541523/445155/799566/561019/436799/324254/30370/323630/553597/557109/559391/561670/572074/100170793/100149745/399480/100148840/245700/558848/100329656/79380/100536950/103909113/100333504/100006041/100329702/797250/100003877/556286/561703/30105/325358/568191/557384",60
"dre04010","Environmental Information Processing","Signal transduction","dre04010","MAPK signaling pathway","106/2190","417/12020",0.254196642685851,1.39517974661367,3.87665386517991,0.000122794211682665,0.00064001831543692,0.000313350460434232,"431720/65237/436925/327321/678630/564518/559247/393141/170581/321107/405785/65236/403145/57925/30705/567905/326708/497646/541530/554230/560578/403065/114436/369195/402991/553788/555941/568718/100006516/30554/386966/369194/245701/360144/406304/554561/563460/359830/394198/393614/550548/100002155/338219/30590/58130/568315/415151/793158/30681/692065/792928/335916/393548/561959/100148581/114408/30431/560446/30512/553597/572204/352940/493181/557109/560875/561670/565173/497407/678560/558321/403052/564873/573376/386856/399480/100150664/353314/100005183/245700/100004261/556172/100004617/100149273/567895/100334116/406714/100535003/564338/569836/563904/100003450/101886393/445057/100334486/415099/405770/795492/65239/556286/406340/559529/100537717/64274/431763/796537/565756",106
"dre00240","Metabolism","Nucleotide metabolism","dre00240","Pyrimidine metabolism","26/2190","70/12020",0.371428571428571,2.03861709067189,4.11339104433729,0.000140159687506591,0.000709043125033344,0.000347144736858431,"436652/562399/100005763/550560/406383/327057/322089/368909/100005551/436692/445151/437016/494065/567734/556849/393744/321720/436595/393906/445245/30085/327590/30083/449835/560627/559958",26
"dre03083","Genetic Information Processing","Chromosome","dre03083","Polycomb repressive complex","31/2190","90/12020",0.344444444444444,1.89051243023846,4.00239995439906,0.000171126578071501,0.000833831194274629,0.000408240486792964,"368900/751689/406815/798356/565206/322129/564853/402921/403066/791894/368248/334470/550551/324015/368890/557358/571851/100007426/565612/558456/555238/559572/100535921/564004/100150267/799441/561863/567497/799361/573110/559273",31
"dre01232","Metabolism","Global and overview maps","dre01232","Nucleotide metabolism","36/2190","110/12020",0.327272727272727,1.79626400996264,3.95983431288923,0.000174522808103992,0.000833831194274629,0.000408240486792964,"445486/436652/562399/321793/100005763/550560/406383/327057/322089/368909/100005551/415208/436692/368220/431724/445151/437016/567734/556849/393744/557834/415192/406404/321720/393906/100005067/791647/322229/445245/30085/327590/30083/100330772/449835/560627/559958",36
"dre03420","Genetic Information Processing","Replication and repair","dre03420","Nucleotide excision repair","23/2190","60/12020",0.383333333333333,2.10395738203957,4.04614841934439,0.000194089732017612,0.00090225497046025,0.000441740499613341,"393196/541325/393774/553610/503748/445170/334669/554099/334839/436817/65226/449846/550263/449992/795310/259256/751713/553705/436837/796803/436588/571834/553347",23
"dre00670","Metabolism","Metabolism of cofactors and vitamins","dre00670","One carbon pool by folate","18/2190","43/12020",0.418604651162791,2.2975469894871,4.02311793204264,0.00026482835509087,0.00119869676514815,0.000586877241198603,"403338/541347/322228/334197/334195/323329/260441/550524/678634/557552/100526683/541329/100004977/100331020/100144628/100332843/378847/436852",18
"dre00790","Metabolism","Metabolism of cofactors and vitamins","dre00790","Folate biosynthesis","15/2190","33/12020",0.454545454545455,2.49481112494811,4.0585182643287,0.000290335374197799,0.00128045344518004,0.000626904991520213,"554136/541539/378962/337696/352943/393787/415103/406624/566323/553452/557552/100192219/103911725/555470/64263",15
"dre05168","Human Diseases","Infectious disease: viral","dre05168","Herpes simplex virus 1 infection","57/2190","203/12020",0.280788177339901,1.54112963087928,3.67007705635948,0.000335412900499694,0.00144227547214869,0.00070613242210462,"406463/321807/30768/386787/323099/323702/58113/405785/403145/565206/554167/791742/564853/541530/553788/58081/335409/360134/554561/368878/100000252/402972/30590/58130/791453/403133/799566/415158/100001836/321564/30400/324254/58100/406691/550401/560933/791704/751714/559425/571368/571282/368481/30762/415150/561021/415099/405770/571753/767645/321315/562317/692289/100149925/797669/565756/798119/103911540",57
"dre01200","Metabolism","Global and overview maps","dre01200","Carbon metabolism","41/2190","135/12020",0.303703703703704,1.66690343311348,3.67798293949804,0.000393149091956461,0.00164930838576857,0.000807494925712885,"368912/406299/323107/317737/393884/550494/335231/334116/402841/100006589/568448/560944/792824/445500/393926/445129/378963/560753/406688/553804/436850/321664/798364/436762/407673/566398/557919/562149/116517/322482/541329/403070/335817/373092/406339/322339/797715/335715/100144628/30068/436852",41
"dre04148","Cellular Processes","Transport and catabolism","dre04148","Efferocytosis","61/2190","224/12020",0.272321428571429,1.49465916503588,3.52729801043245,0.000513432451822339,0.00210262813603434,0.00102943849989441,"65237/327321/562640/246227/553187/100151255/393945/406359/57933/559020/561901/563556/393392/100534737/768159/564571/114436/337692/493634/324140/678537/386807/360144/565797/393940/337397/393202/560102/568315/570410/322614/30681/140814/100001836/494109/561682/100005846/568309/406370/100535437/100333227/368274/399480/791855/373104/558924/563527/570626/100005273/100136868/559809/560657/566185/449803/445057/406364/572187/571633/100333254/321315/100330721",61
"dre00020","Metabolism","Carbohydrate metabolism","dre00020","Citrate cycle (TCA cycle)","15/2190","35/12020",0.428571428571429,2.35225048923679,3.78139126215441,0.000630855500133167,0.00252342200053267,0.00123545752780057,"406299/378727/393884/100006589/568448/445500/393926/445129/436850/436762/562149/436922/322339/797715/335715",15
"dre04910","Organismal Systems","Endocrine system","dre04910","Insulin signaling pathway","51/2190","182/12020",0.28021978021978,1.53800993527021,3.45196423938825,0.000706209708925091,0.00276063795307081,0.00135159752904324,"368433/799867/65236/492364/550549/493617/378727/563180/393807/192322/556277/393732/394101/403065/445028/335231/406660/335409/360144/336121/368217/100000252/445073/541523/558635/799566/436905/327285/335232/324254/58100/557109/561670/572074/556236/793274/399480/436649/245700/323818/79380/100149273/567895/569706/100329897/571753/768121/556286/327379/406339/794462",51
"dre04140","Cellular Processes","Transport and catabolism","dre04140","Autophagy - animal","61/2190","227/12020",0.268722466960352,1.47490596021161,3.40947778881135,0.000743222342132465,0.00279733236425954,0.00136956296903772,"336159/321807/100332642/334571/336746/336632/65236/393676/553788/327007/403036/245701/360144/554561/368883/795095/337810/393202/100000252/326974/378866/394067/100000242/641289/100009663/793200/321564/566914/324254/58100/373114/567021/557109/564088/572074/100170793/767660/571897/570965/399480/100149388/796547/562194/558848/406452/100332174/100149273/568453/568432/100329897/449923/321853/100329702/393838/321622/406582/692289/325358/100149925/794462/569441",61
"dre03022","Genetic Information Processing","Transcription","dre03022","Basal transcription factors","16/2190","39/12020",0.41025641025641,2.25172696405573,3.69551392607632,0.000751469090861885,0.00279733236425954,0.00136956296903772,"567899/541325/334854/100002261/334055/555452/334839/798997/751713/436837/556710/415217/324153/564106/557363/386637",16
"dre04382",NA,NA,"dre04382","Cornified envelope formation","52/2190","187/12020",0.27807486631016,1.5262373940859,3.42321788600003,0.000764387332094178,0.00279733236425954,0.00136956296903772,"436656/494075/405757/327263/406685/550468/81581/336655/60635/373881/550250/558752/568060/664718/406276/445168/449548/445051/792062/406844/550497/81584/81585/568321/768289/678611/323561/553353/569084/100005083/321243/100330886/566557/557257/81587/678612/81580/541320/100144627/336965/30415/553371/30327/100307070/321502/565984/406582/449816/449936/793139/553355/553512",52
"dre04142","Cellular Processes","Transport and catabolism","dre04142","Lysosome","51/2190","184/12020",0.277173913043478,1.52129243597379,3.36331328427832,0.000925178978061625,0.00331522467138749,0.0016231210141432,"541519/557061/100003844/336746/393135/337572/140811/553330/406486/406801/562166/321461/447897/563849/335494/449649/436692/415147/406625/436812/406648/324818/541416/445487/108181664/368852/767760/393279/327237/322811/556700/571066/550529/282673/378958/321853/403021/327635/100333625/100334661/563316/572502/368704/324466/431731/100538007/100005220/100005175/100005356/569153/100005129",51
"dre04620","Organismal Systems","Immune system","dre04620","Toll-like receptor signaling pathway","34/2190","112/12020",0.303571428571429,1.66617742987606,3.34317398847269,0.0011952113200784,0.00419543565415273,0.00205406886372227,"65237/406463/30768/567460/323099/405785/65236/403145/541530/553788/360134/360144/554561/394198/100000252/403133/30681/335916/403052/399480/403136/368481/100149273/561021/415099/405770/65239/100003911/562317/692289/100002946/797669/565756/101883994",34
"dre04114","Cellular Processes","Cell growth and death","dre04114","Oocyte meiosis","43/2190","151/12020",0.28476821192053,1.56297438688802,3.28586344888698,0.00125737186447294,0.00432535921378693,0.00211767892963864,"65237/406685/562585/445246/550576/192322/373881/406660/245701/360144/336121/100148976/449548/368217/338219/449846/30681/550258/399487/79079/58025/100330483/30450/280649/100005268/117604/399480/791855/100149388/797406/568795/100307076/571825/445501/569473/415165/571753/406582/406353/327379/100333702/768140/791138",43
"dre04820","Cellular Processes","Cell motility","dre04820","Cytoskeleton in muscle cells","82/2190","331/12020",0.24773413897281,1.35970974906538,3.13225414155011,0.00155391291254966,0.00524064746977531,0.0025658004747982,"561431/100499533/282667/64612/100151255/386787/567175/555202/569553/560060/561901/393871/571317/64698/337158/561679/100334431/100331874/563556/195815/561865/553503/286829/556842/570288/100005469/550568/336471/334116/568060/406437/321212/565402/798465/394012/114457/325675/57935/450006/378963/100001836/100331323/323561/558044/474327/100330886/568593/100535241/100003572/569404/541320/30415/399646/556734/566325/322921/564246/565429/252849/100141346/565373/564005/393908/558212/571786/100332905/324961/100334859/560145/335083/337077/494453/100463515/569971/553451/100331333/30240/393813/553355/570216/100330772/101882355",82
"dre04137","Cellular Processes","Transport and catabolism","dre04137","Mitophagy - animal","40/2190","141/12020",0.283687943262411,1.55704524110237,3.14043312500441,0.00196833849514784,0.00651065809933518,0.00318759270469287,"336159/321807/393945/100332642/65236/559439/436954/386807/403036/326067/286741/337810/393202/326974/30590/114833/563633/436984/100000242/641289/335916/100009663/793200/321564/100004181/557574/393103/559355/100170793/565434/751649/558848/406452/100149273/415099/114834/692289/406309/436971/797988",40
