"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022900","GO:0022900","electron transport chain","50/4298","76/17744",0.657894736842105,2.71607357155103,8.47616070596118,1.88878869562139e-14,5.10144655881013e-12,4.42283821835937e-12,"uqcrfs1/ndufb8/uqcrb/ndufv2/ndufa10/cox5ba/sdha/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/ndufa7/ndufb6/cox6c/sdhc/ndufa5/ndufb9/cycsb/ndufs8a/fdx2/ndufs4/cox7a2a/cox6a2/cox7a2l/sdhda/fdx1/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/cox7a1/ndufb3/sdhb/smpd1/cox5aa/coa6/uqcc3/cox8a/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",50
"GO:0016072","GO:0016072","rRNA metabolic process","88/4298","174/17744",0.505747126436782,2.08794253408428,8.15351506562414,4.21176288685137e-14,1.04276229473629e-11,9.04051209133799e-12,"dcaf13/wdr12/mak16/rrs1/pin4/rpf1/tsr2/gnl3/exosc9/polr1e/mrto4/wdr55/rpl7/nsa2/ltv1/krr1/ybey/nop56/ddx49/mtrex/ythdf2/riok1/dkc1/rpl35/rpl7a/eif6/c1d/snu13b/znhit3/polr1f/rps21/polr2eb/exosc2/ddx18/rrp36/riok2/zgc:86811/rps28/exosc6/lsm6/pwp2h/polr1d/pih1d1/rcl1/utp11/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/rps16/pop5/imp4/ebna1bp2/pelo/drosha/rps8a/utp3/emg1/ddx10/bop1/exosc8/mettl5/nhp2/slx9/rrp8/trmt112/rbfa/tfb2m/chd7/gar1/rexo4/xrn1/ddx27/mphosph6/mrpl44/exosc3/utp6/exosc7/nop53/pop4/fcf1/nop10/utp23/imp3",88
"GO:0006364","GO:0006364","rRNA processing","81/4298","157/17744",0.515923566878981,2.12995527470932,8.040172686593,1.05802251811186e-13,2.41798838562333e-11,2.09634097313337e-11,"dcaf13/wdr12/mak16/rrs1/pin4/rpf1/tsr2/gnl3/exosc9/mrto4/wdr55/rpl7/nsa2/ltv1/krr1/ybey/nop56/ddx49/mtrex/ythdf2/riok1/dkc1/rpl35/rpl7a/eif6/c1d/snu13b/znhit3/rps21/exosc2/ddx18/rrp36/riok2/zgc:86811/rps28/exosc6/lsm6/pwp2h/pih1d1/rcl1/utp11/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/rps16/pop5/imp4/ebna1bp2/drosha/rps8a/utp3/emg1/ddx10/bop1/exosc8/mettl5/nhp2/slx9/rrp8/trmt112/rbfa/tfb2m/gar1/rexo4/ddx27/mphosph6/mrpl44/exosc3/utp6/exosc7/nop53/pop4/fcf1/nop10/utp23/imp3",81
"GO:0022904","GO:0022904","respiratory electron transport chain","46/4298","70/17744",0.657142857142857,2.71296948746925,8.11860478077327,2.233506952177e-13,4.73982082494134e-11,4.10931692629859e-11,"uqcrfs1/ndufb8/uqcrb/ndufv2/ndufa10/cox5ba/sdha/cox6a1/cox4i2/uqcrq/sdhdb/cox4i1/ndufa7/ndufb6/cox6c/sdhc/ndufa5/ndufb9/cycsb/ndufs8a/cox7a2a/cox6a2/cox7a2l/sdhda/ndufs6/ndufa8/uqcrh/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/cox7a1/sdhb/smpd1/cox5aa/coa6/uqcc3/cox8a/ndufc2/uqcr10/cox7c/cox7a2b/cox7b",46
"GO:0007005","GO:0007005","mitochondrion organization","96/4298","205/17744",0.468292682926829,1.93331441736939,7.59893394791323,1.20041027392473e-12,2.37761261588692e-10,2.0613360984518e-10,"chchd6a/surf1/ndufs5/mcl1b/atg3/mcl1a/ndufb8/chchd10/uqcc2/bcs1l/tmem126a/ifi27.1/phb2b/baxa/higd1a/apoob/marchf5l/mtx2/baxb/cluha/rrm2b/chchd4a/sdhaf3/timm29/romo1/cox16/ifi27.2/ssbp1/sdhaf4/slc25a33/ndufa12/ndufa11/atpaf1/mtfr1/ndufb2/uqcc6/ndufs8a/higd2a/cox7a2a/mffa/nubpl/cox7a2l/atpaf2/rhot2/vat1/timm13/chchd2/ndufaf5/sdhaf2/tfam/fam162a/cox19/mt-nd1/mt-nd5/sco1/chchd7/timm10/bida/cox7a1/maip1/cox17/micos13/ndufs7/ifi27.6/rab5if/polg2/ndufb3/aifm2/ndufaf4/ifi27.4/tmem70/coa4/lyrm7/atad3/pmaip1/timm22/slc25a5/si:dkey-88p24.11/ifi27.8/stmp1/uqcc3/coa5/ndufaf8/coa3b/pet100/zgc:153993/twnk/cox20/uqcc4/coa3a/nme3/etfa/apooa/tmem186/smim20/fis1",96
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","34/4298","49/17744",0.693877551020408,2.864626166893,7.38949414632902,3.05494909406882e-11,5.67265859904904e-09,4.91806607446473e-09,"wdr12/mak16/rrs1/rpf1/mrto4/rpl7/nsa2/tma16/mdn1/airim/rpl5b/rpl35/gtpbp4/rpl7a/rpl5a/eif6/znhit3/ddx18/rsl24d1/rpl7l1/nop2/rpf2/nop16/pak1ip1/ebna1bp2/nip7/wdr74/bop1/trmt112/rpl35a/nop53/rpl26/rpl14/sdad1",34
"GO:0002181","GO:0002181","cytoplasmic translation","42/4298","68/17744",0.617647058823529,2.54991377658555,7.23969344308473,4.95840281413312e-11,8.66553809458206e-09,7.51282457348839e-09,"eif4a1b/drg2/rpl15/eif4bb/rpl22l1/rplp2l/eif3ja/eif2d/eif3m/rpl8/rwdd1/eif4a2/eif3g/eif3d/rplp1/rps21/mcts1/rps28/denr/rps29/impact/cnbpa/cpeb1a/rplp0/rpl31/eif3jb/ftsj1/rpl17/rpl6/eif3k/rpl22/cnbpb/eif3f/rpl29/rpl35a/eif3ea/eif4a1a/rpl24/rpl36/rplp2/rpl26/eif3ha",42
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","80/4298","170/17744",0.470588235294118,1.94279144882709,6.98320775603474,6.55653665644097e-11,1.08219280034923e-08,9.3823656130474e-09,"atp5po/sucla2/uqcrfs1/ugp2b/si:ch73-141c7.1/atg3/ndufb8/uqcrb/uqcc2/sigmar1/ndufv2/ndufa10/ppp1r3cb/cox5ba/sdha/smn1/cox6a1/cox4i2/idh1/aco1/uqcrq/sdhdb/idh3a/cox4i1/atpsckmt/ndufa7/ndufb6/atp5mf/cox6c/sdhc/ndufa5/antkmt/ndufb9/atp5if1b/cycsb/ppp1r3b/mtfr1/ndufs8a/suclg1/cox7a2a/cox6a2/cox7a2l/sdhda/coq10b/ndufs6/ndufa8/uqcrh/gyg1b/sdhaf2/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/atp5if1a/cox7a1/atg12/ppp1r3ca/ndufs7/wfs1b/sdhb/smpd1/rb1cc1/phkb/cox5aa/coa6/uqcc3/cox8a/atp5f1e/ppp1cc/ndufc2/cs/ogdhb/agla/mdh1ab/uqcr10/cox7c/cox7a2b/cox7b",80
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","99/4298","232/17744",0.426724137931034,1.76170151313361,6.60254112384924,4.03164203100803e-10,6.30421498638151e-08,5.46561110796491e-08,"atp5po/sucla2/pgam1a/uqcrfs1/ugp2b/si:ch73-141c7.1/atg3/ndufb8/uqcrb/uqcc2/sigmar1/ndufv2/ndufa10/ppp1r3cb/cox5ba/dhtkd1/sdha/smn1/hmgcl/cox6a1/eno1a/cox4i2/nnt/idh1/aco1/pfkpa/uqcrq/sdhdb/idh3a/cox4i1/atpsckmt/ndufa7/ndufb6/atp5mf/cox6c/sdhc/eno3/ndufa5/tpi1b/antkmt/ndufb9/atp5if1b/cycsb/ppp1r3b/mtfr1/ndufs8a/fdx2/suclg1/ndufs4/cox7a2a/aldob/cox6a2/cox7a2l/sdhda/coq10b/fdx1/ndufs6/rpia/ndufa8/uqcrh/gyg1b/adpgk2/sdhaf2/adpgk/mt-nd1/mt-co1/mt-co2/mt-co3/mt-nd3/mt-nd5/atp5if1a/cox7a1/atg12/ppp1r3ca/insrb/ndufs7/wfs1b/ndufb3/sdhb/smpd1/rb1cc1/phkb/cox5aa/coa6/uqcc3/cox8a/atp5f1e/ppp1cc/pkma/hk2/ndufc2/cs/ogdhb/agla/mdh1ab/uqcr10/cox7c/cox7a2b/cox7b",99
"GO:0001501","GO:0001501","skeletal system development","160/4298","427/17744",0.374707259953162,1.54695337845717,6.46812041872038,4.67682425663331e-10,6.94742243322878e-08,6.02325734525353e-08,"b3gat3/mmp14a/prdm1a/loxa/prdm5/itgav/itga5/lrp5/plxna3/skib/caspa/mmp14b/cacna1c/ltv1/nbas/rap1b/vcanb/med14/pard3ab/acsl4b/fgfr1a/fgfr1b/plod2/ptk7a/ednraa/dcn/col1a1a/col11a2/hcfc1b/atp2b1a/sulf2b/wnt11/acvr1l/zic2a/ilvbl/sema3d/tp73/aldh7a1/cdh2/kat6a/dhrs9/sec23b/tgfb3/fn1a/col1a2/stat3/col11a1a/nsd2/ucmaa/bmp1a/xpr1b/mpi/pthlha/fat3a/irx5a/marcksl1b/col1a1b/bcl9/edn1/zic2b/egr1/polr1d/pmm2/polr1c/runx2a/macc1/gja1b/dlx5a/notch2/mmachc/sox9b/loxl2a/loxl2b/ogna/disp1/rbms3/nansa/cnbpa/sec24d/pbx4/runx3/htt/gdf6a/mustn1a/fras1/foxc1b/cmn/msmo1/auts2a/ltbp1/gfpt1/fgfr2/bglap/apc/runx2b/tfap2a/tasp1/mecom/spns2/ep300b/tinagl1/xylt1/ednrab/furina/creb3l2/srebf1/wwtr1/vgll4l/hapln1b/hoxc11a/pdgfra/kif5ba/eda/megf6b/camk1da/chd7/hspg2/piezo1/aldh1l1/cyp26b1/smarca4a/rerea/prdm16/nomo/itga8/chsy1/megf6a/and2/dlx2a/mgp/rap1ab/runx1/and1/crispld2/tspearb/ponzr1/eif3ea/rflnb/nipbla/hdac4/edar/rpl13/lpar1/col27a1b/mapre2/trrap/ep300a/tln1/pdgfrb/pkn2a/nrp1a/wnt5b/csf1ra/hmgcs1/sh3pxd2b/unc45a/med12/sec23a/kat2a/ric1",160
"GO:0017004","GO:0017004","cytochrome complex assembly","20/4298","24/17744",0.833333333333333,3.44035985729797,6.76359840305085,1.74917798740909e-09,2.47467038123447e-07,2.1454829750326e-07,"surf1/uqcc2/bcs1l/cox16/uqcc6/cox19/sco1/cox17/coa4/lyrm7/coa6/stmp1/uqcc3/coa5/coa3b/pet100/cox20/uqcc4/coa3a/smim20",20
"GO:0061448","GO:0061448","connective tissue development","92/4298","218/17744",0.422018348623853,1.74227398277842,6.2344946990425,3.26735611464083e-09,4.41241591663542e-07,3.82546431221346e-07,"b3gat3/mmp14a/prdm1a/loxa/itgav/itga5/lrp5/skib/mmp14b/ltv1/rap1b/acsl4b/fgfr1a/fgfr1b/ednraa/dcn/col11a2/hcfc1b/sulf2b/acvr1l/sema3d/aldh7a1/cdh2/kat6a/sec23b/tgfb3/mtch2/fn1a/col11a1a/nsd2/mpi/pthlha/fat3a/irx5a/marcksl1b/edn1/arid5b/polr1d/pmm2/polr1c/runx2a/dlx5a/notch2/mmachc/sox9b/loxl2a/loxl2b/ogna/rbms3/cnbpa/sec24d/runx3/htt/mustn1a/foxc1b/msmo1/ilk/gfpt1/fgfr2/runx2b/tfap2a/tasp1/spns2/ednrab/furina/creb3l2/kif5ba/camk1da/chd7/cyp26b1/rerea/prdm16/nomo/chsy1/and2/hnrnpul1l/dlx2a/mgp/runx1/and1/crispld2/rflnb/lpar1/trrap/pdgfrb/nrp1a/wnt5b/sh3pxd2b/unc45a/sec23a/kat2a/ric1",92
"GO:0022618","GO:0022618","protein-RNA complex assembly","58/4298","119/17744",0.487394957983193,2.01217685771377,6.26347718301987,5.25272578698852e-09,6.78515144049691e-07,5.88257208272811e-07,"puf60b/celf2/ruvbl1/rpl38/mrto4/mdn1/eif4bb/snrpd1/eif3ja/eif2d/snrpd3/eif3m/gemin2/rpl5b/eif3g/smn1/rpl5a/eif6/eif3d/rps27.1/lsm4/znhit3/mcts1/prpf8/rsrp1/rps19/puf60a/snrpe/rps28/rps14/pwp2h/denr/ptges3a/pih1d1/coil/gemin7/rps5/abt1/rpf2/prmt7/eif3jb/gemin8/rps27.2/naf1/eif3k/rps15/snrpd3l/eif3f/ptges3b/eif3ea/prpf31/snrpg/nop53/rps27l/trnau1apa/mrps7/eif3ha/snrpf",58
"GO:0051216","GO:0051216","cartilage development","86/4298","203/17744",0.423645320197044,1.74899082400567,6.0680272188488,8.445893450103e-09,1.04553122667733e-06,9.06451810193072e-07,"b3gat3/mmp14a/prdm1a/loxa/itgav/itga5/lrp5/skib/mmp14b/ltv1/rap1b/acsl4b/fgfr1a/fgfr1b/ednraa/dcn/col11a2/hcfc1b/sulf2b/acvr1l/sema3d/aldh7a1/cdh2/kat6a/sec23b/tgfb3/fn1a/col11a1a/nsd2/mpi/pthlha/fat3a/irx5a/marcksl1b/edn1/polr1d/pmm2/polr1c/runx2a/dlx5a/notch2/mmachc/sox9b/loxl2a/loxl2b/ogna/rbms3/cnbpa/sec24d/runx3/htt/mustn1a/foxc1b/msmo1/gfpt1/fgfr2/runx2b/tfap2a/tasp1/spns2/ednrab/furina/creb3l2/kif5ba/camk1da/chd7/cyp26b1/rerea/prdm16/nomo/chsy1/and2/dlx2a/mgp/runx1/and1/crispld2/rflnb/lpar1/trrap/nrp1a/wnt5b/unc45a/sec23a/kat2a/ric1",86
"GO:0006325","GO:0006325","chromatin organization","130/4298","346/17744",0.375722543352601,1.55114490675862,5.85334824046207,1.63424358607122e-08,1.91295177766836e-06,1.65848571275115e-06,"pcgf1/ruvbl1/cbx3a/setb/kmt2a/aebp2/kdm5c/supt6h/epc2/pole3/sirt2/hcfc1b/tasorb/lmna/hira/rbbp7/hcfc1a/carm1/kdm4aa/kat6a/chd3/ino80e/nsd2/h2ax/ing4/si:dkey-261m9.12/spty2d1/histh1l1/tp53/hmgn3/dnmt3bb.1/banf1/h1-0/morf4l1/chrac1/unga/loxl2a/loxl2b/cenpp/yeats4/si:ch211-113a14.24/si:ch211-113a14.18/prmt7/h1-10/cbx1b/znhit1/ino80c/chaf1b/kdm5ba/satb1a/hcfc2/zgc:110425/emsy/kdm2aa/nsd1a/epc1b/atad2b/jarid2a/trip12/zgc:153409/satb2/dot1l/chaf1a/jarid2b/hmgn7/satb1b/tet3/ino80b/nsd3/kmt2ba/chd4a/vps72a/ing5b/h2az2a/h2ax1/eny2/hist1h2a3/dnajc2/nap1l4a/ash1l/rrp8/smarcad1b/h1l1/l3mbtl1b/chd7/tet1/si:dkey-108k21.10/zgc:163061/kmt2cb/bend3/pbrm1l/smarca4a/zgc:110216/kdm2ab/yeats2/brd4/cabin1/hmgn6/tasora/cbx3b/arid1b/cfdp1/zgc:153405/hmgn1a/hdac4/hmgn2/hist1h2a6/trrap/ep400/mbd1a/meaf6/hdac12/epc1a/arid1aa/arid1ab/h1m/hist1h2a2/npm3/hmgn1b/kdm5a/kat2a/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12/hist1h2a1/si:ch211-113a14.19/hist1h2a10/supt4h1",130
